iso,country,bias.adder,HIA
col,Colombia,1237.460173,yll
com,Comoros,1795.848624,yll
cpv,Cabo Verde,-3995.526253,yll
cri,Costa Rica,-3359.848185,yll
cub,Cuba,-5859.213243,yll
cyp,Cyprus,-52.05771079,yll
cze,Czechia,-51.73240621,yll
deu,Germany,11.76660517,yll
dji,Djibouti,3167.965548,yll
dnk,Denmark,2165.187057,yll
dom,Dominican Republic,-5368.792641,yll
dza,Algeria,-1253.036163,yll
ecu,Ecuador,226.313758,yll
egy,Egypt,-280.7218949,yll
esp,Spain,-98.16551762,yll
est,Estonia,274.2130479,yll
eth,Ethiopia,-617.451462,yll
fin,Finland,-384.0451817,yll
fra,France,1481.430946,yll
gab,Gabon,1561.718075,yll
gbr,United Kingdom,-167.2940058,yll
geo,Georgia,-2368.185413,yll
gha,Ghana,-4122.13842,yll
gin,Guinea,1798.263256,yll
gmb,Gambia,698.2840909,yll
gnb,Guinea-Bissau,-18.8079913,yll
gnq,Equatorial Guinea,568.1759791,yll
grc,Greece,-0.285210056,yll
gtm,Guatemala,-124.849816,yll
hnd,Honduras,1362.906823,yll
hrv,Croatia,4795.332735,yll
hti,Haiti,-243.4943959,yll
hun,Hungary,-6687.454009,yll
idn,Indonesia,-713.7253991,yll
ind,India,-59.07691903,yll
irl,Ireland,1016.853622,yll
irn,Iran (Islamic Republic of),244.0098908,yll
irq,Iraq,-1076.591201,yll
isl,Iceland,17.33963219,yll
isr,Israel,-1539.398961,yll
ita,Italy,-0.848645945,yll
jam,Jamaica,6.415368592,yll
jor,Jordan,231.9003513,yll
jpn,Japan,-0.218387426,yll
kaz,Kazakhstan,-237.2961649,yll
ken,Kenya,364.4493539,yll
kgz,Kyrgyzstan,1216.791885,yll
khm,Cambodia,-3983.717139,yll
kor,Republic of Korea,-1746.111469,yll
kwt,Kuwait,1728.566779,yll
lao,Lao People's Democratic Republic,-3896.414888,yll
lbn,Lebanon,-4.890971295,yll
lbr,Liberia,2445.557517,yll
lby,Libya,874.7519323,yll
lka,Sri Lanka,-3311.712278,yll
lso,Lesotho,44.3690372,yll
ltu,Lithuania,-4642.602203,yll
lux,Luxembourg,2229.133287,yll
lva,Latvia,3965.249834,yll
mar,Morocco,8.440439162,yll
mda,Republic of Moldova,5475.777626,yll
mdg,Madagascar,-1370.324571,yll
mex,Mexico,-43.08167533,yll
mkd,North Macedonia,-1500.927033,yll
mli,Mali,-3372.600508,yll
mmr,Myanmar,214.3004848,yll
mne,Montenegro,3714.250156,yll
mng,Mongolia,1146.291507,yll
moz,Mozambique,260.8052201,yll
mrt,Mauritania,-1036.841728,yll
mwi,Malawi,0.232939152,yll
mys,Malaysia,-83.82625609,yll
nam,Namibia,87.74194789,yll
ner,Niger,-1543.662342,yll
nga,Nigeria,-1266.311649,yll
nic,Nicaragua,-1335.292474,yll
nld,Netherlands,-37.29023015,yll
nor,Norway,-84.93982268,yll
npl,Nepal,2146.049431,yll
nzl,New Zealand,5.176130528,yll
omn,Oman,-217.3132269,yll
pak,Pakistan,-36.30364598,yll
pan,Panama,-690.5030207,yll
per,Peru,455.6719939,yll
phl,Philippines,106.5605165,yll
pol,Poland,13.63127549,yll
pri,Puerto Rico,-0.064105273,yll
prk,Democratic People's Republic of Korea,-2221.911709,yll
prt,Portugal,-811.8273968,yll
pry,Paraguay,-7947.264508,yll
pse,Palestine,16.47712304,yll
qat,Qatar,89.4937448,yll
rus,Russian Federation,-461.8035091,yll
rwa,Rwanda,-4150.768866,yll
sau,Saudi Arabia,-54.41078604,yll
sen,Senegal,5199.753158,yll
sgp,Singapore,-0.594371994,yll
sle,Sierra Leone,2.204200877,yll
slv,El Salvador,-749.4755364,yll
srb,Serbia,-1887.089562,yll
svk,Slovakia,-16.8904535,yll
svn,Slovenia,354.3051566,yll
swe,Sweden,-0.103996887,yll
swz,Eswatini,-2799.232196,yll
syr,Syrian Arab Republic,12.11212637,yll
tcd,Chad,-4291.852394,yll
tgo,Togo,-1954.650296,yll
tha,Thailand,-66.38435896,yll
tjk,Tajikistan,1161.447431,yll
tkm,Turkmenistan,-28.99798409,yll
tto,Trinidad and Tobago,-15.8144589,yll
tun,Tunisia,19.78760949,yll
tur,Turkey,0.667134537,yll
twn,Taiwan (Province of China),2842.154459,yll
tza,United Republic of Tanzania,165.1491105,yll
uga,Uganda,-3152.092857,yll
ukr,Ukraine,-1.269066131,yll
ury,Uruguay,1820.482045,yll
usa,United States of America,-0.113371231,yll
uzb,Uzbekistan,-3997.352453,yll
ven,Venezuela (Bolivarian Republic of),355.554978,yll
vnm,Viet Nam,-1220.215092,yll
yem,Yemen,499.1624515,yll
zaf,South Africa,3629.536373,yll
zmb,Zambia,-824.0565596,yll
zwe,Zimbabwe,-150.4357289,yll
