country,year,value,variable,GCM,SRES,iso
Jordan,2012,1738.627106,HDD,CCSM3x,A2,jor
Azerbaijan,2012,4491.905164,HDD,CCSM3x,A2,aze
Panama,2012,0.608687123,HDD,CCSM3x,A2,pan
French Guiana,2012,0.008871595,HDD,CCSM3x,A2,guf
Austria,2012,6170.4607,HDD,CCSM3x,A2,aut
United Arab Emirates,2012,123.9599029,HDD,CCSM3x,A2,are
Czech Republic,2012,6196.728986,HDD,CCSM3x,A2,cze
Ireland,2012,5332.637408,HDD,CCSM3x,A2,irl
Sierra Leone,2012,0.25191188,HDD,CCSM3x,A2,sle
Sri Lanka,2012,0.11953094,HDD,CCSM3x,A2,lka
Georgia,2012,5605.407046,HDD,CCSM3x,A2,geo
Latvia,2012,7231.787393,HDD,CCSM3x,A2,lva
Lithuania,2012,7061.122494,HDD,CCSM3x,A2,ltu
Croatia,2012,4754.77333,HDD,CCSM3x,A2,hrv
Togo,2012,0.18128234,HDD,CCSM3x,A2,tgo
Costa Rica,2012,26.86178323,HDD,CCSM3x,A2,cri
Denmark,2012,962.5807578,HDD,CCSM3x,A2,dnk
Dominican Republic,2012,10.26482719,HDD,CCSM3x,A2,dom
Bosnia &#38; Herzegovina,2012,5703.286181,HDD,CCSM3x,A2,bih
Slovakia,2012,6298.182766,HDD,CCSM3x,A2,svk
Estonia,2012,7342.515406,HDD,CCSM3x,A2,est
Solomon Is.,2012,0.120280339,HDD,CCSM3x,A2,slb
Switzerland,2012,6572.292929,HDD,CCSM3x,A2,che
Taiwan,2012,1172.704659,HDD,CCSM3x,A2,twn
Bhutan,2012,4552.401386,HDD,CCSM3x,A2,btn
Netherlands,2012,4537.97696,HDD,CCSM3x,A2,nld
Guinea-Bissau,2012,0.00805132,HDD,CCSM3x,A2,gnb
Moldova,2012,5674.730647,HDD,CCSM3x,A2,mda
Haiti,2012,0,HDD,CCSM3x,A2,hti
Belgium,2012,5035.836557,HDD,CCSM3x,A2,bel
Lesotho,2012,3997.422722,HDD,CCSM3x,A2,lso
Albania,2012,3953.215527,HDD,CCSM3x,A2,alb
Fiji,2012,0.574933554,HDD,CCSM3x,A2,fji
Armenia,2012,6998.050497,HDD,CCSM3x,A2,arm
The Bahamas,2012,14.77496655,HDD,CCSM3x,A2,bhs
Equatorial Guinea,2012,1.736745702,HDD,CCSM3x,A2,gnq
Burundi,2012,31.92951914,HDD,CCSM3x,A2,bdi
Belize,2012,0.838078906,HDD,CCSM3x,A2,blz
Macedonia,2012,5319.219015,HDD,CCSM3x,A2,mkd
Rwanda,2012,146.9201323,HDD,CCSM3x,A2,rwa
New Caledonia,2012,54.43461391,HDD,CCSM3x,A2,ncl
